[2086, 4, 6, 6, 7, 6, 4, 2, 3, 6, 5, 5, 4, 8, 6, 7, 4, 3, 5, 3, 6, 4, 5, 3, 7, 1, 9, 5, 8, 3, 9, 6, 2, 4, 3, 8, 7, 7, 8, 8, 5, 4, 7, 2, 8, 8, 4, 2, 5, 6, 5, 4, 3, 4, 6, 6, 6, 3, 5, 4, 4, 4, 3, 4, 9, 4, 7, 7, 4, 5, 7, 2, 6, 2, 5, 3, 4, 8, 3, 4, 4, 4, 3, 4, 5, 7, 6, 4, 5, 8, 3, 5, 8, 6, 5, 7, 8, 5, 4, 9, 5, 7, 6, 4, 8, 5, 4, 5, 6, 5, 6, 7, 2, 7, 6, 6, 3, 5, 4, 8, 6, 3, 6, 6, 7, 8, 5, 3, 3, 6, 7, 2, 2, 3, 7, 4, 7, 7, 3, 5, 4, 5, 3, 3, 9, 2, 5, 1, 4, 8, 4, 8, 5, 4, 6, 5, 4, 6, 6, 4, 6, 6, 4, 6, 6, 8, 3, 7, 4, 8, 6, 9, 5, 5, 7, 6, 8, 6, 5, 6, 4, 4, 4, 6, 2, 6, 4, 5, 3, 3, 3, 5, 6, 5, 9, 6, 3, 6, 7, 7, 8, 4, 3, 6, 7, 4, 6, 5, 9, 4, 6, 3, 7, 6, 5, 5, 7, 5, 4, 5, 7, 3, 6, 2, 7, 5, 10, 2, 2, 1, 4, 7, 5, 7, 5, 9, 3, 7, 6, 3, 2, 4, 4, 4, 4, 6, 5, 9, 5, 3, 6, 4, 2, 7, 4, 2, 6, 9, 8, 5, 4, 6, 3, 8, 5, 7, 6, 3, 4, 3, 5, 6, 5, 6, 4, 4, 7, 5, 7, 4, 5, 6, 3, 3, 8, 3, 4, 5, 8, 4, 3, 6, 4, 3, 5, 6, 4, 4, 9, 7, 3, 3, 5, 8, 5, 3, 10, 6, 6, 4, 2, 5, 7, 9, 3, 6, 6, 0, 6, 4, 4, 6, 3, 6, 3, 5, 6, 7, 7, 5, 10, 7, 4, 5, 2, 6, 6, 6, 3, 8, 6, 9, 6, 7, 6, 3, 5, 3, 3, 5, 6, 7, 6, 7, 3, 6, 7, 5, 7, 8, 4, 9, 6, 7, 4, 5, 4, 4, 8, 4, 5, 7, 7, 7, 3, 6, 3, 4, 8, 9, 4, 5, 3, 2, 5, 3, 8, 9, 7, 5, 3, 5, 11, 2, 4, 2, 7, 3, 6, 5, 4]
[109, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 2, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 2, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
[40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[167, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 3, 1, 0, 0, 2, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 2, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 2, 0, 2, 0, 0, 1, 2, 0, 1, 2, 2, 2, 1, 1, 0, 2, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 2, 2, 2, 0, 0, 1, 0, 0, 0, 2, 0, 1, 1, 1, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0]
[701, 2, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 3, 1, 1, 1, 2, 2, 2, 2, 0, 3, 0, 1, 1, 4, 1, 2, 2, 2, 2, 3, 3, 2, 4, 2, 1, 1, 1, 4, 4, 0, 1, 2, 2, 1, 3, 1, 2, 1, 2, 0, 3, 0, 1, 2, 1, 3, 0, 2, 2, 2, 3, 4, 1, 1, 2, 2, 4, 3, 2, 3, 5, 0, 4, 2, 1, 5, 1, 1, 1, 1, 1, 2, 2, 0, 5, 1, 2, 3, 1, 2, 0, 3, 1, 3, 1, 1, 2, 2, 0, 3, 1, 1, 0, 2, 1, 0, 5, 2, 3, 0, 1, 0, 0, 2, 1, 1, 2, 2, 0, 4, 3, 2, 0, 5, 2, 2, 3, 2, 0, 0, 1, 0, 4, 3, 1, 2, 0, 1, 0, 1, 1, 2, 3, 0, 2, 5, 2, 1, 2, 0, 4, 1, 1, 3, 2, 1, 2, 2, 3, 0, 2, 3, 2, 0, 1, 0, 0, 0, 1, 1, 3, 2, 3, 4, 3, 3, 3, 3, 2, 3, 4, 2, 3, 1, 2, 1, 3, 3, 0, 1, 3, 2, 2, 3, 3, 1, 1, 3, 4, 1, 0, 6, 3, 2, 0, 1, 1, 0, 3, 1, 2, 3, 1, 0, 2, 2, 0, 2, 0, 4, 3, 1, 3, 2, 1, 0, 2, 1, 3, 0, 1, 3, 6, 1, 4, 2, 1, 4, 1, 0, 2, 1, 3, 1, 2, 1, 1, 2, 0, 0, 1, 1, 1, 0, 3, 1, 2, 0, 2, 1, 1, 2, 1, 2, 0, 1, 0, 1, 2, 3, 2, 1, 3, 0, 1, 4, 0, 4, 1, 3, 3, 2, 0, 2, 1, 2, 2, 2, 0, 1, 1, 3, 2, 3, 0, 4, 2, 2, 1, 1, 1, 4, 4, 4, 1, 2, 0, 1, 3, 2, 2, 3, 2, 1, 4, 1, 2, 2, 1, 2, 1, 1, 0, 1, 2, 4, 0, 1, 1, 2, 3, 1, 1, 4, 1, 1, 1, 1, 3, 3, 1, 1, 1, 0, 3, 2, 2, 2, 2, 6, 0, 0, 3, 0, 3, 2, 2, 3, 1, 3, 1, 2, 2, 1, 2, 2, 1, 3, 1, 6, 5, 1, 1, 3, 2, 1, 2, 7, 3, 2, 1, 3, 1, 1, 3, 1, 0, 2, 0, 0, 2, 0, 1, 1, 1, 2, 1]
[191, 1, 2, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 2, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 3, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 1, 0, 0, 1, 0, 2, 0, 1, 2, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 2, 2, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 2, 2, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 2, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 1, 2, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 3, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 2, 0, 0, 1, 4, 1, 1, 1, 1, 1, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 1, 0, 3, 1, 2, 1, 0, 1, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]
[71, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[798, 1, 2, 1, 5, 1, 3, 1, 2, 1, 4, 1, 3, 0, 1, 1, 2, 1, 0, 0, 2, 0, 2, 0, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 0, 0, 0, 1, 1, 2, 0, 0, 2, 1, 0, 0, 1, 1, 2, 1, 1, 2, 1, 2, 2, 3, 0, 0, 2, 0, 1, 0, 1, 3, 2, 0, 2, 2, 1, 0, 1, 1, 2, 0, 1, 0, 0, 3, 0, 0, 2, 0, 2, 1, 2, 2, 1, 2, 2, 0, 3, 1, 1, 2, 1, 3, 2, 0, 1, 0, 0, 0, 2, 3, 2, 1, 3, 0, 1, 1, 0, 4, 1, 0, 1, 1, 3, 1, 3, 2, 1, 2, 3, 4, 1, 2, 3, 2, 0, 2, 5, 4, 2, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 4, 1, 3, 1, 0, 0, 0, 2, 0, 1, 0, 0, 3, 1, 1, 3, 2, 2, 3, 1, 1, 1, 3, 1, 2, 2, 0, 3, 2, 1, 0, 0, 0, 0, 4, 1, 0, 0, 1, 2, 0, 2, 0, 1, 1, 2, 2, 1, 1, 0, 2, 2, 1, 1, 4, 1, 2, 1, 2, 0, 0, 0, 1, 1, 1, 2, 3, 0, 2, 1, 4, 1, 1, 0, 1, 3, 1, 4, 3, 2, 2, 3, 2, 2, 5, 4, 3, 4, 2, 3, 2, 4, 4, 4, 4, 6, 3, 3, 3, 4, 3, 3, 3, 1, 9, 2, 4, 1, 3, 3, 7, 5, 4, 6, 3, 2, 4, 2, 0, 3, 2, 5, 2, 0, 1, 2, 4, 2, 3, 1, 2, 1, 3, 2, 2, 3, 2, 1, 1, 1, 3, 5, 0, 1, 2, 4, 2, 1, 4, 3, 0, 4, 4, 3, 7, 2, 2, 1, 3, 4, 2, 5, 4, 0, 3, 4, 0, 2, 3, 3, 0, 5, 5, 3, 0, 1, 5, 0, 2, 2, 4, 1, 3, 2, 7, 4, 4, 5, 0, 5, 1, 1, 1, 0, 1, 3, 2, 6, 3, 0, 1, 3, 0, 5, 3, 4, 3, 4, 2, 1, 3, 0, 2, 5, 6, 5, 6, 6, 3, 2, 2, 4, 4, 2, 4, 3, 1, 5, 6, 5, 5, 1, 1, 2, 1, 5, 3, 1, 3, 1, 5, 2, 4, 2, 1, 0, 7, 3, 5, 2, 4, 2, 2, 4, 4, 1, 3, 1]
[655, 0, 1, 2, 0, 3, 2, 4, 0, 1, 4, 2, 2, 2, 1, 1, 4, 4, 0, 1, 0, 1, 0, 3, 2, 2, 2, 0, 1, 2, 6, 1, 2, 0, 1, 0, 1, 3, 3, 4, 0, 4, 2, 3, 2, 0, 3, 1, 3, 1, 0, 3, 2, 0, 3, 1, 3, 4, 0, 3, 2, 1, 2, 5, 0, 4, 0, 3, 1, 1, 1, 1, 2, 0, 1, 0, 2, 0, 2, 6, 1, 0, 0, 0, 4, 1, 2, 0, 2, 0, 2, 2, 3, 2, 0, 0, 2, 4, 0, 3, 3, 1, 0, 2, 4, 0, 3, 1, 2, 0, 0, 4, 2, 1, 0, 4, 1, 1, 1, 3, 0, 0, 3, 0, 3, 1, 2, 0, 3, 4, 4, 1, 1, 0, 1, 2, 1, 0, 0, 4, 0, 2, 1, 3, 1, 1, 2, 0, 3, 4, 2, 1, 0, 2, 0, 5, 1, 4, 1, 5, 1, 6, 2, 2, 0, 2, 2, 2, 3, 2, 4, 1, 3, 1, 1, 1, 0, 2, 2, 2, 2, 0, 2, 3, 2, 0, 0, 3, 0, 1, 0, 0, 2, 3, 1, 0, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 0, 1, 1, 2, 2, 0, 2, 4, 1, 2, 0, 1, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 9, 3, 1, 2, 2, 2, 1, 2, 1, 2, 3, 0, 2, 4, 2, 4, 0, 3, 0, 3, 2, 2, 1, 1, 1, 4, 1, 1, 1, 1, 1, 3, 0, 3, 1, 1, 1, 0, 0, 0, 2, 1, 0, 2, 1, 1, 2, 1, 4, 2, 1, 1, 0, 0, 1, 4, 1, 4, 2, 1, 1, 2, 4, 4, 1, 2, 1, 1, 0, 0, 0, 4, 2, 2, 2, 5, 2, 0, 1, 1, 3, 1, 1, 1, 4, 3, 0, 1, 0, 0, 2, 1, 4, 2, 1, 1, 1, 0, 1, 0, 2, 2, 5, 1, 2, 2, 1, 2, 2, 2, 3, 1, 1, 4, 0, 2, 1, 5, 3, 0, 2, 0, 2, 2, 4, 5, 2, 3, 6, 0, 2, 0, 2, 0, 2, 2, 2, 1, 1, 0, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 0, 1, 4, 1, 2, 3, 1, 0, 1, 6, 2, 1, 2, 0, 0, 2, 1, 1, 1, 2]
[112, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0]
