[307, 1, 1, 0, 0, 0, 1, 0, 2, 1, 0, 0, 1, 0, 2, 2, 2, 1, 0, 0, 0, 0, 0, 1, 3, 0, 0, 2, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 2, 0, 1, 1, 0, 2, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 1, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0, 0, 1, 0, 0, 3, 1, 0, 2, 0, 1, 4, 0, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 2, 1, 3, 1, 2, 1, 1, 0, 0, 1, 1, 1, 2, 1, 1, 3, 0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 2, 1, 0, 1, 3, 1, 1, 1, 1, 3, 2, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 3, 1, 2, 0, 0, 2, 0, 2, 2, 1, 0, 2, 3, 0, 1, 0, 0, 2, 0, 0, 1, 1, 1, 2, 3, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 2, 0, 0, 1, 1, 2, 1, 0, 0, 1, 1, 0, 2, 0, 1, 1, 1, 2, 0, 1, 1, 1, 0, 2, 2, 2, 0, 1, 1, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 0, 2, 0, 1, 0, 2, 0, 0, 1, 1, 2, 0, 0, 2, 2, 2, 0, 0, 2, 0, 0, 0, 1, 2, 1, 1, 0, 2, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 0, 1, 0, 2, 2, 0, 1, 2, 1, 0, 2, 0, 0, 1, 0, 0, 1, 1, 2, 0, 3, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 1, 1, 2, 1, 0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 2, 0, 0, 1, 1, 1, 1, 0, 0, 1, 2, 1, 0, 0, 0]
[421, 0, 0, 1, 2, 1, 2, 0, 1, 2, 2, 0, 0, 1, 1, 5, 0, 4, 3, 2, 0, 1, 0, 1, 3, 0, 2, 0, 0, 0, 1, 2, 0, 3, 0, 1, 0, 2, 0, 0, 1, 1, 1, 2, 1, 0, 2, 0, 2, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 2, 0, 2, 1, 0, 2, 4, 1, 1, 0, 1, 1, 3, 1, 1, 2, 0, 0, 1, 0, 0, 0, 1, 0, 2, 2, 1, 1, 1, 1, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 3, 0, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 1, 0, 0, 1, 3, 2, 1, 0, 0, 1, 2, 1, 1, 1, 2, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 3, 0, 1, 1, 3, 0, 1, 1, 1, 2, 2, 0, 1, 0, 1, 4, 0, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 3, 1, 0, 1, 1, 1, 0, 2, 1, 2, 0, 2, 0, 0, 0, 1, 2, 1, 1, 1, 1, 0, 0, 3, 1, 0, 4, 1, 1, 3, 2, 0, 0, 0, 2, 1, 1, 0, 1, 2, 1, 0, 1, 1, 1, 1, 0, 0, 0, 2, 1, 1, 2, 1, 2, 0, 3, 2, 0, 0, 2, 2, 0, 0, 3, 0, 3, 1, 3, 0, 0, 1, 2, 0, 0, 0, 1, 3, 0, 1, 3, 1, 3, 2, 3, 1, 1, 0, 1, 2, 0, 2, 1, 1, 2, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 4, 0, 2, 1, 2, 1, 4, 2, 0, 0, 1, 1, 2, 1, 0, 0, 1, 0, 1, 1, 1, 2, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 3, 1, 3, 0, 3, 1, 0, 2, 3, 0, 0, 3, 1, 1, 0, 2, 1, 2, 0, 0, 1, 2, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 3, 2, 1, 1, 0, 0, 1, 0, 0, 1, 0, 2, 1, 1, 2, 1, 0, 0, 0, 1, 3, 3, 2, 1, 4, 1, 1, 2, 0, 2, 0, 4, 0, 0, 3, 1, 3, 1, 1, 0, 1, 2, 1, 0, 0, 0, 2, 2, 2, 2]
[173, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 3, 0, 0, 1, 1, 0, 2, 0, 0, 1, 1, 0, 2, 0, 0, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 3, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 2, 1, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 3, 0, 1, 1, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 1, 0, 0, 2, 1, 2, 1, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 2, 1, 2, 1, 0, 0, 0]
[539, 0, 1, 0, 0, 0, 0, 3, 1, 0, 1, 2, 4, 1, 1, 3, 2, 0, 0, 0, 0, 3, 1, 2, 0, 2, 1, 1, 3, 3, 1, 1, 0, 1, 2, 1, 1, 4, 1, 1, 3, 4, 4, 3, 1, 2, 0, 1, 1, 1, 0, 2, 0, 1, 2, 2, 0, 2, 0, 0, 1, 0, 1, 3, 0, 3, 1, 4, 1, 1, 2, 2, 0, 1, 0, 1, 1, 0, 1, 2, 1, 0, 2, 2, 0, 0, 3, 2, 2, 1, 3, 2, 1, 1, 2, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 2, 0, 3, 0, 3, 4, 0, 2, 1, 0, 3, 1, 1, 0, 0, 0, 1, 1, 2, 3, 1, 0, 0, 1, 2, 2, 4, 1, 2, 1, 1, 0, 1, 0, 3, 2, 0, 3, 2, 0, 1, 1, 1, 1, 0, 1, 3, 2, 2, 1, 1, 2, 1, 4, 4, 1, 0, 1, 3, 1, 0, 3, 1, 2, 0, 3, 3, 1, 2, 1, 2, 3, 0, 2, 1, 1, 0, 3, 1, 3, 0, 1, 2, 2, 0, 1, 1, 0, 2, 1, 1, 2, 0, 0, 2, 0, 1, 1, 2, 2, 0, 1, 0, 2, 1, 1, 1, 0, 2, 1, 0, 1, 0, 2, 2, 2, 2, 0, 2, 5, 2, 3, 1, 1, 4, 3, 2, 3, 1, 3, 2, 2, 1, 2, 2, 3, 1, 2, 1, 1, 1, 1, 2, 3, 0, 3, 2, 0, 1, 0, 2, 2, 0, 0, 1, 3, 0, 0, 2, 1, 0, 1, 2, 0, 1, 3, 2, 0, 2, 1, 3, 0, 1, 2, 0, 2, 0, 1, 5, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 2, 1, 1, 1, 2, 2, 1, 3, 1, 2, 2, 2, 2, 4, 3, 3, 1, 2, 0, 2, 0, 1, 3, 0, 0, 1, 4, 3, 2, 1, 0, 2, 0, 3, 1, 3, 3, 1, 4, 0, 1, 2, 1, 3, 1, 1, 2, 1, 0, 2, 0, 3, 1, 2, 2, 1, 0, 0, 0, 3, 0, 1, 0, 3, 1, 4, 1, 0, 0, 0, 4, 1, 2, 2, 0, 4, 2, 3, 0, 2, 1, 1, 1, 1, 3, 1, 0, 1, 0, 1, 1, 2, 1, 0, 2, 1, 0, 2, 0, 0, 2, 1, 0, 1]
[195, 0, 2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 2, 0, 0, 1, 0, 0, 1, 1, 1, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 2, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 2, 0, 1, 0, 0, 2, 1, 1, 0, 0, 1, 0, 0, 0, 3, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 2, 0, 4, 0, 0, 1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3, 1, 0, 2, 1, 2, 1, 0, 0, 0, 1, 1, 0, 2, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 2, 0, 2, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 5, 1, 2, 0, 0, 1, 0, 0, 0, 1, 0, 2, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 2, 0, 0, 1, 0, 2, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0]
[1543, 3, 2, 2, 5, 3, 4, 3, 3, 2, 2, 4, 2, 5, 2, 5, 3, 2, 3, 1, 3, 1, 0, 2, 5, 2, 9, 3, 2, 4, 6, 4, 3, 1, 1, 4, 5, 6, 4, 5, 4, 4, 3, 1, 2, 3, 3, 3, 5, 1, 3, 4, 3, 7, 4, 3, 5, 4, 3, 7, 2, 2, 2, 2, 1, 6, 4, 3, 4, 3, 4, 2, 4, 7, 4, 4, 5, 5, 5, 2, 4, 4, 5, 4, 3, 3, 4, 4, 3, 5, 3, 3, 1, 4, 5, 3, 0, 2, 4, 2, 3, 5, 4, 3, 1, 4, 8, 6, 4, 7, 6, 5, 1, 4, 2, 4, 4, 3, 3, 9, 2, 4, 8, 3, 5, 1, 6, 2, 4, 5, 7, 3, 5, 2, 6, 2, 3, 5, 4, 3, 2, 4, 0, 4, 3, 5, 7, 4, 2, 2, 4, 4, 2, 4, 7, 3, 5, 2, 5, 3, 5, 3, 7, 4, 3, 4, 1, 5, 1, 4, 5, 6, 2, 5, 6, 5, 1, 4, 7, 4, 3, 6, 2, 4, 1, 2, 2, 3, 6, 4, 5, 5, 5, 2, 5, 4, 4, 3, 2, 3, 4, 4, 3, 3, 7, 5, 6, 4, 3, 2, 5, 3, 3, 2, 2, 1, 0, 5, 4, 5, 4, 3, 5, 1, 2, 4, 4, 4, 7, 4, 3, 4, 4, 3, 2, 5, 3, 1, 5, 5, 6, 5, 1, 6, 5, 1, 3, 7, 4, 5, 2, 6, 4, 8, 4, 5, 3, 4, 4, 4, 8, 3, 3, 7, 7, 6, 5, 4, 6, 5, 3, 1, 3, 4, 3, 3, 7, 4, 3, 4, 6, 5, 4, 5, 4, 5, 6, 3, 7, 4, 2, 5, 4, 3, 5, 5, 9, 3, 3, 3, 4, 5, 6, 4, 7, 2, 6, 4, 3, 4, 6, 2, 4, 1, 4, 3, 2, 7, 2, 3, 5, 3, 3, 8, 3, 5, 5, 5, 3, 1, 6, 4, 3, 3, 5, 6, 3, 4, 6, 2, 4, 5, 2, 3, 4, 3, 3, 3, 5, 4, 3, 4, 0, 3, 3, 7, 3, 6, 6, 3, 8, 7, 5, 6, 1, 2, 2, 4, 5, 5, 2, 4, 1, 5, 6, 3, 8, 7, 4, 4, 2, 6, 3, 6, 4, 3, 5, 5, 3, 5, 3, 6, 3, 2, 3, 4, 5, 2, 4, 3, 4]
[141, 0, 0, 0, 0, 0, 1, 2, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 2, 0, 3, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 1, 1, 0, 1, 0, 1, 2, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 2, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]
[86, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 1, 0, 1, 2, 1, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]
[486, 1, 1, 0, 1, 0, 2, 1, 1, 1, 2, 2, 0, 1, 0, 0, 1, 0, 3, 1, 2, 0, 3, 1, 1, 0, 0, 1, 2, 1, 2, 3, 1, 2, 0, 1, 0, 4, 3, 2, 0, 2, 1, 1, 1, 0, 0, 1, 4, 2, 0, 1, 1, 2, 0, 1, 1, 3, 0, 0, 3, 2, 1, 1, 0, 1, 0, 3, 2, 0, 0, 3, 0, 0, 0, 0, 2, 2, 0, 1, 0, 1, 0, 1, 2, 2, 1, 0, 1, 2, 1, 0, 2, 2, 2, 1, 4, 3, 2, 0, 0, 0, 0, 1, 2, 1, 1, 0, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 0, 1, 2, 1, 1, 1, 3, 0, 1, 0, 0, 0, 2, 2, 0, 1, 2, 3, 1, 1, 1, 0, 1, 2, 1, 3, 2, 0, 1, 3, 0, 1, 3, 1, 1, 1, 2, 0, 1, 1, 2, 1, 1, 1, 4, 2, 1, 0, 4, 1, 2, 0, 1, 4, 0, 2, 1, 0, 1, 3, 0, 2, 0, 2, 1, 1, 1, 1, 3, 0, 2, 0, 2, 1, 1, 2, 0, 0, 0, 1, 2, 2, 3, 1, 1, 1, 2, 0, 3, 1, 1, 3, 0, 5, 1, 2, 0, 0, 2, 0, 1, 0, 1, 0, 1, 2, 3, 2, 3, 2, 3, 2, 2, 1, 1, 0, 1, 6, 0, 3, 0, 1, 1, 1, 1, 2, 2, 0, 0, 2, 1, 2, 0, 2, 0, 4, 1, 1, 3, 0, 0, 1, 1, 1, 3, 1, 1, 0, 1, 4, 2, 2, 1, 1, 3, 0, 0, 1, 0, 1, 1, 0, 5, 0, 2, 0, 4, 0, 2, 1, 0, 1, 1, 0, 3, 0, 0, 1, 2, 0, 1, 0, 2, 4, 2, 1, 1, 0, 0, 2, 1, 1, 0, 1, 3, 2, 1, 0, 0, 0, 2, 1, 1, 2, 3, 0, 2, 0, 0, 0, 1, 0, 2, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 3, 1, 1, 2, 0, 0, 1, 2, 0, 1, 3, 5, 1, 3, 0, 2, 0, 0, 0, 2, 1, 1, 1, 0, 1, 1, 1, 2, 0, 3, 2, 0, 3, 2, 1, 1, 2, 3, 0, 4, 0, 1, 2, 0, 1, 2, 1, 1, 1, 1, 2, 0, 1]
[64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]
