[301, 0, 2, 0, 0, 1, 3, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 1, 3, 0, 1, 1, 0, 0, 0, 0, 1, 0, 2, 0, 1, 1, 0, 0, 0, 0, 1, 4, 3, 0, 0, 0, 1, 2, 0, 1, 4, 3, 1, 1, 3, 2, 0, 0, 1, 0, 0, 2, 0, 1, 3, 0, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 4, 0, 0, 2, 0, 1, 0, 0, 1, 0, 3, 0, 0, 2, 2, 1, 2, 1, 1, 1, 0, 3, 4, 1, 1, 1, 1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1, 1, 1, 1, 0, 1, 2, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 2, 1, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 2, 2, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 2, 0, 0, 2, 2, 1, 0, 2, 3, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 3, 2, 0, 0, 1, 0, 1, 2, 1, 2, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 4, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 1, 1, 3, 1, 0, 2, 0, 3, 1, 1, 0, 1, 1, 0, 2, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 2, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 2, 0, 0, 0, 2, 1, 0, 0, 0, 1, 1, 1, 1, 0, 2, 0, 0, 1, 0, 1, 1, 1, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 5, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 3, 0, 2, 0, 2, 0, 0, 2, 0, 2, 1, 2]
[231, 0, 1, 3, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 2, 0, 2, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0, 2, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 3, 0, 1, 0, 1, 0, 4, 1, 1, 2, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 2, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 1, 2, 0, 1, 1, 1, 0, 1, 0, 1, 2, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 3, 1, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 2, 0, 1, 2, 0, 1, 0, 1, 0, 0, 1, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 2, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 1, 1, 0, 1, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 1, 0, 1, 0, 1, 1, 2, 3, 2, 0, 0, 2, 0, 1, 0, 0, 1, 0, 1, 1, 3, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 3, 1, 1, 1, 0, 0, 2, 1, 0, 1, 1, 1, 0, 0, 0, 3, 0, 1, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 1, 0, 1, 2, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2, 1, 1, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 2]
[277, 1, 0, 2, 1, 1, 1, 1, 2, 0, 1, 2, 1, 2, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 3, 1, 2, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 1, 1, 3, 0, 1, 2, 0, 2, 0, 1, 3, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 1, 1, 0, 1, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 1, 1, 0, 1, 1, 1, 3, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 3, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 2, 1, 0, 0, 1, 0, 0, 3, 1, 2, 0, 1, 2, 0, 0, 2, 1, 0, 0, 1, 0, 0, 3, 0, 1, 1, 2, 0, 0, 1, 1, 2, 0, 0, 1, 2, 1, 1, 3, 1, 0, 1, 0, 0, 3, 1, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 1, 0, 2, 0, 1, 1, 2, 0, 0, 0, 0, 1, 0, 1, 2, 2, 0, 1, 2, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 2, 1, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 2, 1, 1, 1, 2, 0, 1, 1, 1, 0, 0, 2, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 1, 1, 0, 2, 0, 0, 1, 1, 1, 0, 0, 2, 2, 0, 2, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 2, 0, 2, 1, 1, 2, 0, 2, 0, 0, 0, 1, 0, 2, 1, 1, 1, 1, 3, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 2, 1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 3, 0, 0, 2, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 1, 0, 2, 0, 1, 0, 1, 2, 2, 1, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]
[266, 0, 1, 0, 0, 0, 3, 0, 2, 1, 0, 0, 2, 0, 0, 2, 2, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 2, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 2, 2, 0, 2, 3, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 3, 2, 0, 1, 0, 0, 0, 1, 0, 0, 1, 2, 0, 2, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 2, 3, 1, 0, 1, 1, 0, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 1, 1, 1, 3, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 1, 2, 0, 0, 1, 2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 2, 5, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 1, 0, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2, 1, 1, 3, 0, 1, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 2, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 2, 0, 0, 1, 1, 0, 2, 0, 0, 1, 1, 0, 1, 1, 1, 2, 1, 2, 4, 0, 1, 1, 4, 2, 2, 0, 1, 0, 0, 1, 1, 0, 1, 0, 2, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 2, 0, 1, 2, 0, 0, 1, 0, 0, 2, 0, 0, 0, 2, 1, 2, 2, 2, 0, 1, 3, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 2, 1, 2, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0]
[381, 1, 1, 0, 3, 0, 1, 1, 2, 1, 1, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 0, 0, 0, 1, 0, 3, 0, 0, 1, 2, 1, 0, 0, 4, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 2, 1, 0, 3, 1, 4, 1, 0, 2, 1, 0, 0, 1, 1, 2, 2, 1, 0, 2, 0, 2, 1, 1, 0, 0, 0, 1, 0, 2, 3, 2, 1, 2, 0, 2, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 3, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 2, 0, 0, 1, 0, 1, 0, 2, 2, 4, 1, 2, 2, 2, 2, 0, 0, 2, 1, 1, 0, 0, 2, 0, 0, 2, 0, 1, 2, 0, 1, 1, 0, 2, 2, 1, 0, 0, 1, 2, 2, 1, 2, 0, 1, 2, 0, 0, 0, 2, 1, 1, 2, 2, 0, 2, 1, 1, 1, 1, 1, 1, 2, 0, 1, 1, 2, 1, 1, 1, 2, 1, 0, 1, 0, 1, 2, 2, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 2, 2, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 2, 0, 1, 1, 0, 4, 1, 4, 1, 1, 1, 0, 3, 2, 1, 4, 1, 2, 1, 1, 2, 0, 3, 1, 1, 2, 1, 1, 1, 0, 1, 0, 2, 1, 2, 1, 0, 1, 0, 1, 0, 1, 1, 2, 2, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 3, 0, 1, 1, 2, 0, 1, 0, 2, 1, 0, 3, 1, 2, 2, 0, 0, 1, 0, 1, 2, 1, 1, 2, 2, 0, 1, 6, 0, 3, 0, 0, 1, 0, 1, 0, 4, 2, 0, 3, 0, 0, 2, 1, 1, 2, 1, 0, 0, 1, 0, 1, 0, 1, 1, 3, 1, 0, 2, 0, 1, 1, 0, 0, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 2, 2, 1, 0, 3, 1, 0, 3, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]
[673, 3, 1, 2, 0, 3, 2, 3, 0, 0, 3, 0, 1, 1, 1, 3, 4, 2, 3, 3, 0, 3, 0, 2, 1, 1, 3, 1, 1, 3, 2, 1, 0, 0, 0, 1, 1, 0, 0, 2, 2, 0, 4, 1, 0, 2, 2, 2, 1, 2, 0, 2, 0, 4, 1, 2, 2, 0, 0, 1, 2, 1, 2, 0, 1, 2, 0, 2, 1, 2, 2, 4, 1, 1, 1, 1, 0, 0, 2, 3, 1, 1, 1, 1, 3, 1, 2, 2, 3, 1, 1, 1, 1, 3, 4, 2, 3, 0, 1, 1, 4, 1, 1, 1, 0, 4, 1, 2, 4, 3, 0, 1, 1, 3, 2, 0, 0, 0, 2, 2, 2, 3, 1, 0, 0, 3, 5, 1, 1, 1, 5, 1, 1, 0, 2, 0, 3, 0, 1, 2, 2, 1, 4, 4, 4, 0, 2, 0, 5, 0, 3, 0, 2, 1, 0, 2, 2, 2, 3, 1, 3, 0, 0, 2, 1, 3, 4, 5, 2, 1, 4, 1, 2, 3, 0, 2, 1, 1, 4, 3, 1, 4, 1, 1, 1, 0, 3, 2, 5, 2, 4, 0, 2, 2, 2, 3, 2, 1, 2, 0, 3, 0, 3, 1, 2, 4, 0, 2, 0, 2, 1, 3, 1, 2, 1, 2, 3, 1, 3, 1, 2, 0, 2, 1, 1, 4, 2, 1, 3, 0, 2, 1, 3, 6, 4, 1, 2, 2, 1, 0, 3, 1, 1, 1, 2, 3, 4, 0, 2, 2, 1, 3, 1, 2, 1, 2, 5, 1, 2, 0, 1, 1, 2, 1, 2, 3, 3, 5, 1, 0, 1, 2, 3, 2, 0, 1, 1, 1, 0, 5, 1, 1, 3, 1, 2, 4, 2, 4, 3, 1, 3, 2, 3, 2, 0, 1, 1, 2, 3, 3, 1, 2, 2, 2, 0, 0, 3, 3, 2, 2, 0, 0, 4, 5, 2, 2, 6, 1, 2, 1, 2, 1, 0, 0, 0, 2, 3, 1, 1, 0, 1, 0, 2, 2, 1, 1, 3, 2, 2, 1, 1, 0, 3, 3, 0, 2, 3, 1, 0, 2, 0, 1, 2, 2, 2, 2, 0, 1, 1, 4, 2, 1, 0, 2, 4, 1, 0, 1, 3, 1, 1, 1, 0, 2, 2, 3, 1, 4, 1, 0, 2, 0, 0, 1, 1, 1, 3, 3, 3, 1, 2, 2, 0, 2, 1, 1, 0, 4, 3, 3, 0]
[243, 0, 0, 0, 2, 1, 1, 0, 1, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 2, 1, 0, 0, 0, 1, 2, 1, 1, 1, 0, 1, 2, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 4, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 3, 1, 2, 2, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 2, 1, 2, 2, 0, 2, 0, 0, 0, 3, 0, 1, 1, 0, 0, 0, 3, 0, 0, 0, 0, 2, 0, 2, 1, 0, 1, 0, 1, 2, 1, 1, 2, 0, 0, 1, 1, 1, 0, 2, 0, 1, 0, 0, 0, 1, 2, 0, 0, 3, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 1, 2, 0, 1, 0, 0, 1, 2, 1, 1, 1, 0, 0, 0, 2, 1, 1, 0, 0, 1, 0, 2, 2, 0, 0, 0, 1, 0, 0, 1, 0, 3, 1, 0, 1, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 0, 2, 1, 1, 2, 1, 0, 0, 1, 1, 1, 5, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 2, 1, 1, 0, 1, 2, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 2, 1, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 3, 0, 1, 0, 1, 0, 1]
[199, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 2, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 1, 2, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 4, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 3, 0, 2, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 2, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 2, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 2, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 0, 0, 0, 1, 3, 1, 0, 2, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 2, 1, 0, 1, 0, 2]
[157, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 2, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 3, 2, 0, 2, 2, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 2, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 1, 1, 4, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]
[249, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 2, 2, 2, 0, 5, 2, 3, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 1, 0, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 2, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 1, 1, 1, 1, 2, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 3, 1, 0, 0, 2, 1, 0, 2, 1, 0, 1, 1, 2, 0, 0, 2, 0, 0, 0, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3, 1, 2, 0, 0, 0, 0, 0, 0, 3, 1, 0, 1, 0, 0, 4, 0, 0, 1, 0, 0, 2, 1, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 4, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 3, 0, 0, 2, 2, 1, 3, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 0, 0, 1, 1, 1, 0, 0, 1, 2, 1, 1, 0, 1, 0, 1, 1, 2, 1, 1, 3, 1, 1, 2, 1, 0, 0, 0, 1, 1, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 4, 0, 1, 2, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 0]
