[953, 2, 4, 2, 4, 3, 2, 2, 2, 1, 3, 1, 2, 2, 2, 4, 2, 4, 4, 1, 4, 2, 3, 3, 2, 2, 3, 3, 2, 2, 3, 2, 3, 2, 2, 1, 6, 4, 3, 3, 6, 1, 2, 2, 3, 3, 4, 1, 3, 6, 2, 3, 2, 3, 2, 0, 0, 3, 2, 2, 1, 2, 0, 3, 1, 3, 1, 2, 1, 1, 3, 2, 3, 4, 0, 2, 5, 0, 1, 3, 1, 4, 1, 2, 3, 2, 0, 3, 3, 4, 4, 2, 2, 3, 2, 2, 3, 0, 5, 4, 1, 3, 5, 3, 4, 5, 1, 3, 0, 3, 2, 1, 1, 1, 2, 2, 1, 1, 3, 2, 2, 1, 4, 0, 0, 2, 0, 1, 0, 6, 1, 3, 2, 1, 2, 4, 1, 1, 3, 3, 1, 4, 1, 0, 3, 1, 2, 2, 2, 2, 1, 2, 0, 1, 3, 4, 0, 3, 3, 3, 2, 2, 4, 3, 3, 3, 2, 4, 1, 0, 1, 3, 3, 4, 3, 4, 3, 1, 3, 3, 5, 3, 3, 3, 5, 3, 3, 2, 2, 3, 4, 2, 4, 3, 2, 4, 4, 3, 2, 4, 3, 3, 2, 4, 2, 3, 0, 4, 3, 1, 5, 0, 4, 3, 1, 4, 2, 2, 2, 2, 0, 2, 2, 3, 1, 5, 4, 3, 1, 3, 1, 2, 1, 2, 2, 3, 2, 1, 3, 0, 0, 3, 1, 1, 3, 4, 3, 2, 1, 1, 1, 2, 3, 2, 3, 4, 2, 2, 4, 0, 2, 1, 2, 5, 3, 3, 0, 3, 1, 1, 4, 2, 3, 1, 1, 7, 0, 0, 1, 5, 4, 2, 1, 5, 5, 4, 4, 2, 4, 2, 0, 2, 3, 2, 5, 0, 2, 4, 6, 4, 4, 3, 1, 6, 1, 4, 4, 3, 1, 1, 1, 4, 3, 2, 2, 2, 4, 3, 1, 3, 5, 3, 1, 3, 1, 1, 4, 2, 1, 7, 2, 0, 2, 2, 1, 2, 2, 2, 1, 2, 0, 1, 5, 2, 1, 1, 4, 1, 3, 2, 2, 4, 0, 2, 1, 3, 2, 6, 1, 2, 2, 4, 0, 1, 2, 0, 3, 1, 5, 2, 2, 4, 2, 3, 6, 2, 5, 0, 5, 1, 1, 6, 4, 2, 0, 4, 1, 2, 1, 2, 1, 3, 4, 1, 2, 2, 4, 5, 2, 1, 1]
[53, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]
[688, 0, 3, 2, 1, 0, 0, 1, 1, 1, 0, 3, 1, 0, 0, 3, 2, 1, 3, 0, 1, 0, 1, 1, 2, 2, 2, 3, 1, 0, 2, 0, 1, 1, 1, 3, 0, 2, 1, 1, 0, 0, 0, 1, 1, 3, 1, 1, 2, 0, 0, 1, 2, 1, 2, 2, 2, 0, 4, 1, 1, 3, 1, 1, 3, 0, 1, 3, 2, 2, 2, 3, 0, 1, 0, 1, 0, 4, 2, 2, 0, 3, 2, 1, 2, 2, 0, 1, 3, 2, 0, 1, 0, 1, 1, 1, 0, 2, 3, 2, 1, 4, 1, 7, 3, 1, 1, 0, 4, 3, 4, 2, 5, 2, 1, 1, 0, 1, 2, 1, 1, 2, 3, 0, 1, 3, 0, 2, 1, 2, 3, 4, 2, 2, 2, 1, 1, 1, 1, 1, 3, 2, 1, 2, 1, 0, 2, 2, 0, 1, 2, 1, 2, 2, 3, 1, 3, 0, 1, 1, 4, 1, 2, 2, 2, 0, 5, 2, 3, 1, 0, 3, 1, 2, 0, 1, 0, 2, 1, 3, 0, 0, 1, 1, 3, 0, 1, 2, 3, 3, 3, 2, 4, 1, 1, 2, 1, 2, 0, 2, 3, 2, 2, 2, 3, 1, 1, 0, 1, 4, 1, 3, 3, 0, 0, 4, 2, 1, 1, 0, 1, 1, 5, 0, 1, 5, 1, 2, 2, 3, 2, 2, 1, 2, 1, 3, 3, 1, 3, 0, 2, 1, 3, 2, 5, 4, 3, 1, 1, 0, 2, 0, 0, 2, 3, 2, 1, 3, 2, 6, 2, 3, 3, 0, 1, 3, 5, 1, 2, 0, 4, 2, 0, 0, 1, 2, 1, 5, 2, 1, 0, 2, 1, 3, 3, 1, 3, 3, 5, 1, 0, 3, 2, 3, 3, 1, 1, 3, 1, 2, 0, 2, 4, 2, 4, 2, 4, 2, 3, 1, 0, 3, 0, 0, 1, 1, 1, 0, 4, 1, 3, 2, 2, 2, 2, 0, 2, 3, 2, 3, 1, 2, 0, 6, 1, 1, 0, 1, 1, 1, 2, 3, 1, 3, 2, 1, 1, 4, 4, 1, 2, 2, 4, 0, 2, 3, 2, 2, 1, 2, 2, 2, 3, 3, 5, 1, 4, 2, 6, 1, 1, 1, 4, 0, 1, 1, 0, 2, 1, 2, 3, 3, 3, 2, 1, 1, 2, 0, 1, 1, 1, 2, 2, 0, 1, 1, 3, 0, 3, 1, 4]
[486, 2, 1, 3, 2, 2, 3, 1, 2, 0, 2, 0, 2, 0, 2, 2, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 3, 1, 1, 3, 1, 1, 2, 1, 1, 1, 5, 0, 0, 0, 0, 0, 3, 3, 3, 2, 0, 1, 3, 1, 2, 0, 1, 1, 2, 0, 1, 0, 0, 1, 2, 1, 0, 1, 3, 3, 0, 2, 1, 3, 0, 0, 1, 0, 1, 1, 3, 0, 0, 0, 3, 1, 1, 2, 2, 3, 0, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 0, 2, 0, 2, 2, 2, 1, 2, 3, 0, 1, 0, 1, 0, 2, 2, 1, 1, 0, 1, 0, 3, 3, 3, 1, 2, 1, 2, 2, 0, 0, 0, 2, 0, 2, 2, 0, 3, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 4, 1, 0, 0, 0, 1, 1, 3, 0, 3, 1, 1, 1, 2, 0, 2, 0, 1, 0, 3, 1, 1, 2, 1, 3, 2, 2, 0, 3, 1, 0, 0, 2, 1, 2, 1, 0, 1, 2, 2, 1, 3, 1, 2, 3, 1, 2, 1, 3, 0, 1, 2, 3, 2, 2, 0, 1, 0, 0, 0, 0, 1, 1, 2, 1, 1, 3, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 3, 1, 0, 1, 0, 2, 1, 2, 1, 3, 0, 2, 0, 1, 0, 0, 4, 4, 1, 3, 1, 0, 1, 1, 3, 1, 1, 0, 2, 0, 2, 1, 0, 2, 0, 0, 1, 1, 0, 2, 2, 1, 1, 1, 1, 1, 1, 0, 2, 1, 3, 2, 4, 1, 1, 2, 2, 3, 0, 0, 0, 0, 1, 0, 1, 1, 2, 0, 0, 3, 3, 1, 4, 1, 1, 1, 1, 0, 1, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 2, 1, 0, 0, 1, 1, 4, 2, 2, 2, 1, 0, 2, 2, 1, 0, 0, 1, 3, 0, 0, 2, 0, 3, 1, 1, 2, 0, 2, 0, 0, 2, 0, 2, 1, 2, 1, 2, 1, 0, 2, 2, 3, 2, 0, 3, 2, 1, 2, 0, 3, 1, 1, 0, 1, 2, 2, 2, 1, 0, 3, 0, 2, 1, 1, 0, 0, 1, 2, 0, 2, 2, 0, 2, 1, 3, 2, 2, 1, 0, 1, 2, 0, 3, 0]
[663, 2, 2, 2, 0, 2, 3, 2, 1, 0, 2, 1, 2, 0, 1, 2, 1, 4, 1, 2, 2, 4, 2, 2, 0, 1, 3, 1, 2, 0, 1, 2, 3, 2, 1, 2, 2, 2, 4, 0, 0, 2, 5, 4, 2, 2, 2, 1, 2, 2, 1, 4, 0, 4, 3, 2, 1, 2, 1, 2, 2, 1, 2, 1, 2, 1, 1, 1, 3, 2, 4, 3, 2, 0, 1, 0, 1, 2, 2, 1, 0, 1, 2, 1, 3, 2, 3, 2, 2, 2, 1, 2, 0, 0, 0, 2, 2, 0, 1, 3, 0, 3, 1, 1, 2, 1, 3, 1, 1, 2, 4, 0, 2, 5, 1, 3, 1, 1, 2, 0, 4, 1, 2, 2, 1, 0, 1, 1, 0, 2, 2, 4, 1, 0, 0, 1, 2, 0, 0, 1, 1, 1, 1, 2, 1, 0, 1, 1, 2, 1, 1, 2, 4, 3, 4, 1, 2, 2, 1, 4, 1, 1, 3, 1, 1, 1, 2, 3, 4, 3, 3, 1, 2, 1, 3, 1, 2, 4, 2, 0, 0, 2, 1, 2, 2, 2, 1, 2, 0, 0, 1, 1, 1, 1, 0, 3, 1, 1, 0, 2, 2, 4, 2, 4, 4, 2, 3, 0, 0, 0, 2, 1, 2, 0, 1, 3, 2, 1, 1, 2, 3, 2, 1, 1, 1, 2, 2, 3, 2, 1, 1, 3, 2, 3, 1, 3, 1, 1, 3, 3, 2, 4, 1, 0, 4, 1, 2, 2, 4, 4, 1, 2, 1, 2, 2, 2, 1, 2, 1, 1, 2, 1, 4, 0, 1, 2, 3, 1, 6, 2, 2, 0, 2, 0, 1, 1, 2, 2, 2, 2, 1, 1, 1, 3, 5, 2, 3, 1, 3, 0, 0, 1, 0, 2, 2, 0, 2, 0, 2, 0, 2, 0, 4, 6, 2, 1, 1, 3, 2, 2, 1, 0, 0, 0, 1, 2, 1, 2, 2, 2, 3, 0, 2, 0, 2, 0, 5, 2, 3, 0, 2, 0, 1, 1, 3, 4, 1, 0, 0, 1, 3, 1, 3, 2, 0, 2, 3, 1, 0, 1, 1, 2, 2, 4, 0, 0, 1, 4, 5, 0, 3, 1, 1, 1, 1, 2, 4, 3, 2, 1, 1, 3, 2, 2, 2, 1, 1, 0, 1, 1, 1, 2, 0, 1, 2, 1, 1, 0, 2, 0, 2, 1, 5, 2, 1, 0, 1, 1, 2, 1, 1]
[1571, 1, 4, 4, 2, 2, 4, 3, 3, 1, 1, 3, 5, 4, 3, 7, 4, 4, 0, 4, 5, 4, 3, 5, 1, 0, 5, 3, 5, 3, 5, 4, 5, 3, 4, 2, 6, 4, 6, 4, 3, 7, 2, 2, 3, 5, 3, 4, 2, 3, 7, 4, 2, 3, 2, 9, 7, 7, 2, 4, 5, 6, 2, 7, 2, 6, 5, 6, 4, 1, 8, 5, 4, 1, 2, 1, 6, 3, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 8, 4, 2, 2, 5, 4, 3, 1, 5, 6, 7, 3, 3, 3, 4, 5, 4, 3, 4, 3, 6, 5, 3, 4, 4, 6, 3, 4, 5, 3, 3, 6, 1, 5, 0, 5, 3, 3, 6, 7, 3, 4, 8, 5, 7, 6, 5, 2, 4, 9, 4, 4, 4, 3, 6, 3, 4, 7, 3, 2, 3, 4, 3, 6, 5, 3, 5, 4, 3, 4, 6, 2, 5, 2, 3, 3, 0, 3, 5, 3, 2, 7, 8, 2, 4, 6, 1, 2, 2, 4, 3, 3, 1, 5, 6, 2, 2, 1, 2, 4, 4, 3, 3, 4, 4, 5, 6, 3, 4, 4, 4, 5, 1, 3, 2, 2, 6, 5, 5, 3, 1, 4, 6, 6, 5, 5, 5, 3, 3, 5, 3, 3, 4, 4, 4, 4, 1, 6, 8, 4, 3, 3, 2, 4, 5, 5, 2, 3, 7, 2, 7, 6, 3, 2, 5, 5, 5, 4, 4, 9, 3, 5, 4, 6, 5, 4, 5, 6, 3, 0, 4, 2, 5, 0, 1, 2, 4, 4, 0, 4, 2, 4, 5, 3, 4, 4, 2, 6, 3, 5, 5, 4, 2, 7, 0, 4, 3, 3, 3, 7, 9, 3, 2, 4, 1, 1, 5, 0, 2, 8, 3, 7, 6, 2, 2, 9, 3, 3, 4, 5, 1, 3, 2, 4, 7, 4, 2, 5, 6, 3, 5, 3, 2, 3, 6, 7, 3, 3, 5, 6, 3, 4, 2, 4, 4, 8, 4, 6, 3, 4, 2, 6, 3, 5, 3, 5, 8, 6, 4, 4, 4, 6, 4, 3, 5, 5, 2, 3, 4, 2, 4, 2, 2, 3, 3, 6, 7, 2, 6, 2, 7, 3, 1, 4, 6, 4, 2, 2, 1, 6, 5, 5, 0, 4, 4, 3, 1, 1, 6, 6, 2, 8, 8, 5, 6, 3, 2, 1, 5, 5, 4, 7, 7]
[38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
[201, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 4, 2, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 0, 3, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 2, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 3, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 3, 0, 2, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 2, 1, 0, 0, 2, 1, 1, 2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 2, 1, 0, 0, 1, 1, 0, 1, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 2, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]
[87, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 2, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[868, 1, 3, 3, 1, 3, 2, 4, 1, 2, 6, 2, 1, 1, 2, 3, 1, 4, 3, 2, 0, 4, 3, 2, 1, 0, 0, 0, 2, 1, 1, 2, 1, 2, 2, 5, 2, 2, 1, 1, 0, 3, 1, 1, 0, 0, 1, 1, 2, 4, 3, 0, 2, 0, 0, 1, 1, 5, 2, 0, 5, 2, 2, 2, 0, 5, 3, 4, 1, 1, 3, 3, 1, 1, 2, 4, 1, 2, 3, 1, 0, 4, 2, 1, 2, 1, 2, 2, 2, 6, 1, 2, 2, 2, 3, 3, 1, 1, 3, 2, 2, 3, 5, 6, 2, 4, 1, 2, 2, 1, 3, 0, 3, 2, 1, 3, 2, 3, 4, 4, 3, 1, 2, 3, 5, 2, 4, 4, 4, 2, 7, 1, 0, 1, 6, 2, 4, 4, 1, 2, 4, 1, 2, 1, 2, 2, 3, 1, 2, 0, 3, 3, 1, 3, 2, 4, 1, 0, 3, 3, 1, 3, 3, 4, 2, 1, 1, 1, 1, 5, 2, 2, 4, 4, 6, 1, 1, 1, 2, 3, 3, 0, 1, 2, 1, 2, 0, 1, 2, 3, 0, 2, 1, 1, 3, 1, 3, 2, 1, 1, 2, 1, 2, 2, 1, 0, 2, 2, 2, 4, 4, 0, 3, 2, 6, 4, 3, 2, 1, 3, 0, 3, 3, 3, 4, 1, 5, 2, 1, 2, 4, 3, 4, 1, 2, 2, 1, 0, 1, 3, 2, 5, 3, 2, 3, 2, 3, 2, 2, 2, 1, 3, 0, 1, 3, 2, 2, 2, 2, 0, 2, 4, 2, 3, 2, 2, 0, 5, 3, 1, 1, 3, 1, 1, 1, 5, 0, 2, 1, 1, 0, 4, 0, 1, 3, 0, 5, 0, 3, 4, 2, 3, 3, 1, 3, 2, 2, 3, 2, 3, 4, 2, 3, 3, 3, 2, 1, 5, 3, 2, 1, 2, 2, 2, 2, 2, 3, 1, 3, 1, 2, 2, 1, 1, 1, 1, 2, 2, 3, 2, 2, 1, 2, 2, 2, 1, 2, 4, 2, 2, 1, 1, 2, 2, 3, 2, 4, 2, 2, 6, 2, 5, 1, 3, 4, 2, 2, 2, 1, 3, 3, 6, 2, 5, 1, 3, 2, 0, 2, 2, 2, 1, 4, 2, 0, 3, 0, 1, 1, 1, 0, 2, 5, 1, 5, 3, 3, 0, 2, 3, 3, 1, 5, 0, 3, 1, 6, 3, 1, 5, 2]
